,價值,級別,比較數量,評估數量,實際數量,個別廠商業務統計,,,,,,,,,Ｖ,Ｖ,,,,,,,,,,Ｖ,,Ｖ,,,Ｖ,,,,,,,,,,,,,,,,,,,,,,
廠商屬性,,,,,,白金級,白金級,黃金級,黃金級,白銀級,白銀級,白銀級,白銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,其他,其他,其他,其他,其他,其他
品項,"P 1,000,000
G 700,000
X 300,000
S 150,000","白金 P
黃金 G
白銀 X
銀 S",可用數量,最大釋出,實際數量,Gilead,FiftyPercent,DIKE,Model TV,LesPark,lululemon,杜蕾斯,美光,AZ,Google,GSK,GSTAR,Pinkoi,UT麗舍,Yahoo,台北市觀傳局,百健,海峰電腦,高通,高誠公關,樂天,磊山保經,聯合利華,GAP,Lab Series,MAC,Nike,TaskUs,Uber,ZIMA,七彩翼國際,台北市民政局,永準貿易,同窗會,辻利茶舖,波士頓,相模,彩虹平權大平台,彩虹酷兒,麥肯錫,無心戒酒,澤豐,Part.T,TAIWANIZE,可口可樂,合橋國際,臺虎精釀,緹威國際
業務組長,,,,,,美克,美克,,美克,,,美克,,鄧霆,美克,,鄧霆,,,美克,,,,,,美克,,,,,,,,美克,,,,,,,,,,,,,,,,,,,
業務窗口,,,,,,Kira,Ray,Linus,樂樂,馬尾,Liwen,樂樂,Alonso,Ray,Taco,Alonso,Ray,Kira,馬尾,Taco,美克,Liwen,盛,Alonso,泩閎,Alonso,Ray,Kira,Ray,美克,Kira,泩閎,泩閎,Kira,Liwen,Alonso,美克,馬尾,Ray,Ray,Alonso,Linus,美克,盛,泩閎,美克,Linus,盛,美克,美克,美克,Ray,盛
展場DM專區介紹（5000份）,,P,-2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20週年紀念專刊 專區介紹（預計1000本),,P,-2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
導覽專員介紹,,"P,G",-4,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彩虹地景場地使用權,"250,000",P,-2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
友善企業介紹立牌（A4尺寸）,"80,000",,-2,,2,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
入口主視覺置入logo曝光,,G,-4,,4,,,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
展場DM logo曝光（5000份）,,G,-4,,4,,,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
展場DM線上版 logo曝光,,G,-4,,4,,,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
專題講座冠名權,,,0,2,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
展間贊助,"20,000",,0,2,2,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
估計金額,,,,,,,,,,,,,,"155,000","170,000","150,000","150,000","145,000","254,000","170,000","150,000",,"215,000","150,000","150,000",,"165,000","170,000","100,000",,"352,000","250,000",,"310,000",,"10,000",,"80,000",,"15,000","25,000","49,000",,"100,000","100,000","100,000","10,000",,,,"107,000","249,000","35,000"
實際金額,,,,,,"1,000,000","1,000,000","700,000","700,000","300,000","300,000","300,000","300,000","155,000",,,,,,,,,,,,,"150,000",,,,,,,,,,,,,,,,,,,,,,,,,,
